lipid class;#db bonds;01PCCL3Ctrl;02PCCL3Ctrl;03PCCL3Ctrl;04PCCL3TSH0;05PCCL3TSH0;06PCCL3TSH0;07PCCL3TSH24h;08PCCL3TSH24h;09PCCL3TSH24h;10PCCL3TSH48h;11PCCL3TSH48h;12PCCL3TSH48h;13Blank;14BlankStdrmix
GL02_DAG;0;1.57E+07;9.85E+06;1.56E+07;1.81E+06;1.14E+06;1.66E+06;5.12E+06;7.04E+06;6.01E+06;1.25E+07;1.38E+07;1.30E+07;7.78E+04;1.35E+05
GL02_DAG;1;5.11E+07;4.29E+07;5.82E+07;1.38E+07;1.55E+07;1.43E+07;1.88E+07;2.29E+07;2.51E+07;6.16E+07;6.65E+07;6.33E+07;4.98E+06;3.83E+06
GL02_DAG;2;4.70E+07;4.70E+07;5.93E+07;1.74E+07;1.87E+07;1.76E+07;1.95E+07;2.26E+07;2.26E+07;7.42E+07;7.75E+07;7.34E+07;7.12E+06;9.00E+06
GL02_DAG;3;1.97E+07;1.92E+07;2.71E+07;1.14E+07;1.09E+07;1.05E+07;5.97E+06;1.07E+07;9.86E+06;2.85E+07;3.13E+07;2.97E+07;5.95E+06;4.63E+06
GL02_DAG;4;7.21E+06;5.49E+06;9.74E+06;4.23E+06;3.75E+06;3.97E+06;2.33E+06;2.91E+06;2.40E+06;7.25E+06;6.89E+06;7.17E+06;0.00E+00;0.00E+00
GL02_DAG;5;3.93E+06;3.56E+06;4.70E+06;2.26E+06;2.43E+06;2.17E+06;3.08E+05;6.86E+05;0.00E+00;1.90E+06;2.55E+06;2.01E+06;0.00E+00;0.00E+00
GL02_DAG;6;6.10E+06;5.66E+06;8.40E+06;1.52E+06;9.67E+05;1.20E+06;0.00E+00;8.20E+05;0.00E+00;2.51E+06;2.12E+06;1.57E+06;0.00E+00;0.00E+00
GL02_DAG;7;4.20E+06;4.35E+06;6.17E+06;1.30E+06;1.14E+06;1.19E+06;0.00E+00;0.00E+00;0.00E+00;1.69E+06;1.77E+06;1.37E+06;0.00E+00;0.00E+00
GL02_DAG;8;1.06E+06;0.00E+00;1.13E+06;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GL02_DAG;12;4.10E+05;0.00E+00;6.02E+05;0.00E+00;2.96E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GL02_DAG;13;3.53E+07;2.39E+07;3.43E+07;2.98E+07;2.92E+07;3.11E+07;2.31E+07;2.43E+07;3.06E+07;2.28E+07;2.52E+07;2.60E+07;0.00E+00;0.00E+00
GL02_DAG;14;1.08E+07;6.55E+06;1.04E+07;9.13E+06;9.03E+06;9.31E+06;7.57E+06;7.51E+06;9.45E+06;5.43E+06;6.07E+06;5.85E+06;0.00E+00;0.00E+00
GL02_DAG;SUM;2.02E+08;1.68E+08;2.36E+08;9.26E+07;9.31E+07;9.29E+07;8.28E+07;9.94E+07;1.06E+08;2.18E+08;2.34E+08;2.23E+08;1.81E+07;1.76E+07
GL03_TAG;0;9.25E+07;6.38E+07;7.98E+07;2.36E+07;2.24E+07;2.03E+07;6.69E+07;7.20E+07;8.36E+07;1.25E+08;1.43E+08;1.38E+08;1.13E+07;9.44E+06
GL03_TAG;1;2.45E+08;1.83E+08;2.41E+08;6.68E+07;7.20E+07;6.78E+07;1.79E+08;1.95E+08;2.33E+08;4.72E+08;5.10E+08;4.74E+08;2.05E+07;1.83E+07
GL03_TAG;2;2.35E+08;1.87E+08;2.38E+08;7.37E+07;7.46E+07;7.42E+07;1.92E+08;2.00E+08;2.46E+08;5.54E+08;5.89E+08;5.42E+08;1.68E+07;2.03E+07
GL03_TAG;3;1.06E+08;8.82E+07;1.12E+08;4.50E+07;4.22E+07;3.87E+07;8.82E+07;9.19E+07;1.13E+08;2.76E+08;2.77E+08;2.69E+08;1.12E+07;1.02E+07
GL03_TAG;4;3.41E+07;2.82E+07;4.18E+07;2.07E+07;1.82E+07;1.73E+07;2.35E+07;2.57E+07;3.02E+07;7.37E+07;7.10E+07;6.91E+07;0.00E+00;0.00E+00
GL03_TAG;5;1.61E+07;1.46E+07;1.95E+07;9.41E+06;9.23E+06;9.04E+06;7.80E+06;8.66E+06;7.54E+06;2.11E+07;2.16E+07;2.03E+07;0.00E+00;2.12E+05
GL03_TAG;6;1.51E+07;1.36E+07;1.96E+07;5.36E+06;4.23E+06;5.23E+06;3.22E+06;4.39E+06;3.53E+06;9.31E+06;9.27E+06;7.54E+06;0.00E+00;0.00E+00
GL03_TAG;7;1.11E+07;1.00E+07;1.56E+07;3.93E+06;3.25E+06;3.82E+06;2.25E+06;2.29E+06;2.56E+06;6.60E+06;6.20E+06;4.79E+06;0.00E+00;0.00E+00
GL03_TAG;8;2.72E+06;1.50E+06;3.57E+06;4.06E+05;3.70E+05;0.00E+00;3.34E+05;2.68E+05;4.14E+05;1.63E+06;1.64E+06;9.34E+05;0.00E+00;0.00E+00
GL03_TAG;12;4.10E+05;0.00E+00;6.02E+05;0.00E+00;2.96E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GL03_TAG;13;3.53E+07;2.39E+07;3.43E+07;2.98E+07;2.92E+07;3.11E+07;2.31E+07;2.43E+07;3.06E+07;2.28E+07;2.52E+07;2.60E+07;0.00E+00;0.00E+00
GL03_TAG;14;1.08E+07;6.55E+06;1.04E+07;9.13E+06;9.03E+06;9.31E+06;7.57E+06;7.51E+06;9.45E+06;5.43E+06;6.07E+06;5.85E+06;0.00E+00;0.00E+00
GL03_TAG;15;0.00E+00;1.37E+06;0.00E+00;0.00E+00;0.00E+00;1.02E+06;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GL03_TAG;19;0.00E+00;0.00E+00;0.00E+00;8.74E+05;9.21E+05;7.75E+05;3.02E+06;2.92E+06;2.40E+06;0.00E+00;0.00E+00;5.90E+05;1.09E+06;1.16E+06
GL03_TAG;20;5.13E+06;4.60E+06;3.36E+06;3.60E+06;4.41E+06;0.00E+00;1.29E+06;1.35E+06;5.40E+06;9.87E+05;3.40E+06;7.35E+05;0.00E+00;0.00E+00
GL03_TAG;21;2.07E+06;0.00E+00;2.33E+06;2.47E+06;3.16E+06;5.45E+05;3.24E+06;2.31E+06;3.68E+06;4.24E+05;2.90E+06;5.01E+06;0.00E+00;0.00E+00
GL03_TAG;22;5.66E+05;1.03E+06;6.78E+05;1.02E+06;1.88E+06;1.65E+06;6.44E+05;9.06E+05;7.35E+05;4.04E+05;0.00E+00;3.90E+05;1.32E+06;1.74E+06
GL03_TAG;SUM;8.12E+08;6.28E+08;8.23E+08;2.96E+08;2.95E+08;2.81E+08;6.02E+08;6.39E+08;7.72E+08;1.57E+09;1.67E+09;1.56E+09;6.22E+07;6.14E+07
GP01_LysoPC;0;2.11E+08;1.69E+08;2.09E+08;2.06E+08;1.80E+08;1.66E+08;2.24E+08;2.07E+08;4.53E+08;1.20E+08;1.66E+08;1.51E+08;0.00E+00;3.89E+06
GP01_LysoPC;1;1.09E+08;9.57E+07;9.24E+07;1.30E+08;1.13E+08;1.05E+08;1.18E+08;1.09E+08;2.41E+08;9.10E+07;1.30E+08;1.23E+08;0.00E+00;7.28E+06
GP01_LysoPC;2;6.66E+06;6.27E+06;6.56E+06;1.05E+07;8.84E+06;7.49E+06;5.71E+06;5.45E+06;1.46E+07;5.98E+06;9.32E+06;8.76E+06;0.00E+00;0.00E+00
GP01_LysoPC;3;5.94E+06;3.83E+06;5.42E+06;7.89E+06;1.40E+06;6.92E+06;5.06E+06;5.00E+06;1.19E+07;2.72E+06;3.80E+06;3.78E+06;0.00E+00;0.00E+00
GP01_LysoPC;4;1.02E+06;6.88E+05;7.26E+05;2.98E+06;1.88E+06;2.41E+06;4.37E+05;6.74E+05;2.56E+06;4.99E+05;7.15E+05;8.79E+05;0.00E+00;0.00E+00
GP01_LysoPC;5;4.88E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GP01_LysoPC;6;0.00E+00;0.00E+00;0.00E+00;1.08E+06;0.00E+00;0.00E+00;0.00E+00;0.00E+00;7.32E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GP01_LysoPC;SUM;3.34E+08;2.75E+08;3.14E+08;3.58E+08;3.05E+08;2.88E+08;3.53E+08;3.27E+08;7.25E+08;2.20E+08;3.09E+08;2.87E+08;0.00E+00;1.12E+07
GP01_PC;0;4.53E+08;4.04E+08;3.54E+08;4.44E+08;4.53E+08;4.25E+08;4.77E+08;6.19E+08;1.24E+09;2.64E+08;3.85E+08;3.69E+08;0.00E+00;8.77E+07
GP01_PC;1;6.53E+09;5.26E+09;5.64E+09;5.71E+09;5.71E+09;5.81E+09;6.16E+09;5.94E+09;9.43E+09;4.02E+09;5.45E+09;5.22E+09;0.00E+00;6.41E+07
GP01_PC;2;2.66E+09;2.26E+09;2.31E+09;2.76E+09;2.82E+09;2.88E+09;2.53E+09;2.46E+09;4.09E+09;2.30E+09;2.98E+09;3.01E+09;0.00E+00;0.00E+00
GP01_PC;3;7.90E+08;6.84E+08;7.53E+08;1.09E+09;1.12E+09;1.14E+09;6.61E+08;6.64E+08;1.14E+09;6.00E+08;8.21E+08;7.72E+08;0.00E+00;1.47E+06
GP01_PC;4;3.70E+08;3.17E+08;3.45E+08;6.04E+08;5.84E+08;6.16E+08;2.88E+08;2.89E+08;4.98E+08;1.96E+08;2.49E+08;2.45E+08;0.00E+00;1.09E+06
GP01_PC;5;1.98E+08;1.69E+08;1.92E+08;2.42E+08;2.41E+08;2.60E+08;1.10E+08;1.16E+08;1.89E+08;6.62E+07;8.49E+07;8.02E+07;0.00E+00;0.00E+00
GP01_PC;6;1.57E+08;1.38E+08;1.52E+08;1.95E+08;1.95E+08;2.10E+08;8.46E+07;9.23E+07;1.41E+08;3.78E+07;4.85E+07;4.66E+07;0.00E+00;0.00E+00
GP01_PC;7;4.19E+07;3.44E+07;3.89E+07;5.45E+07;5.82E+07;5.94E+07;2.75E+07;2.79E+07;5.36E+07;1.76E+07;2.23E+07;2.20E+07;0.00E+00;0.00E+00
GP01_PC;8;5.60E+06;4.32E+06;5.04E+06;7.97E+06;8.94E+06;9.41E+06;2.29E+06;2.70E+06;5.86E+06;1.46E+06;2.18E+06;2.09E+06;0.00E+00;0.00E+00
GP01_PC;9;1.76E+06;9.67E+05;1.65E+06;3.32E+06;3.12E+06;3.75E+06;1.09E+06;1.13E+06;2.24E+06;4.53E+05;4.98E+05;0.00E+00;0.00E+00;0.00E+00
GP01_PC;10;0.00E+00;0.00E+00;0.00E+00;0.00E+00;6.71E+05;0.00E+00;0.00E+00;0.00E+00;5.01E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GP01_PC;18;0.00E+00;6.23E+05;6.77E+05;2.70E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GP01_PC;SUM;1.12E+10;9.27E+09;9.80E+09;1.11E+10;1.12E+10;1.14E+10;1.03E+10;1.02E+10;1.68E+10;7.50E+09;1.00E+10;9.77E+09;0.00E+00;1.54E+08
GP02_PE;0;2.62E+07;3.61E+07;3.43E+07;1.45E+07;1.60E+07;1.32E+07;2.86E+07;2.02E+07;3.80E+07;2.71E+07;2.32E+07;2.27E+07;0.00E+00;0.00E+00
GP02_PE;1;8.57E+08;8.41E+08;7.93E+08;7.54E+08;7.96E+08;7.43E+08;8.83E+08;8.37E+08;1.12E+09;6.94E+08;8.25E+08;8.02E+08;0.00E+00;7.54E+07
GP02_PE;2;8.77E+08;8.66E+08;8.36E+08;7.78E+08;8.16E+08;7.64E+08;8.18E+08;8.07E+08;1.09E+09;8.27E+08;9.54E+08;9.00E+08;0.00E+00;0.00E+00
GP02_PE;3;4.56E+08;4.39E+08;4.15E+08;5.17E+08;5.31E+08;5.03E+08;4.66E+08;4.66E+08;6.79E+08;4.49E+08;5.12E+08;4.53E+08;4.83E+04;5.70E+04
GP02_PE;4;3.52E+08;3.26E+08;3.06E+08;4.12E+08;4.23E+08;4.22E+08;3.54E+08;3.39E+08;5.27E+08;2.84E+08;3.07E+08;2.79E+08;0.00E+00;6.24E+06
GP02_PE;5;2.53E+08;2.51E+08;2.42E+08;2.54E+08;2.59E+08;2.64E+08;1.87E+08;1.91E+08;2.86E+08;1.29E+08;1.32E+08;1.29E+08;0.00E+00;0.00E+00
GP02_PE;6;1.84E+08;2.02E+08;1.77E+08;2.19E+08;2.20E+08;2.14E+08;1.61E+08;1.47E+08;2.24E+08;8.58E+07;9.94E+07;7.26E+07;0.00E+00;0.00E+00
GP02_PE;7;1.13E+07;2.05E+07;1.99E+07;1.40E+07;1.39E+07;1.48E+07;1.99E+07;1.01E+07;3.16E+07;1.37E+07;7.39E+06;7.28E+06;0.00E+00;0.00E+00
GP02_PE;8;3.62E+05;7.86E+06;3.81E+05;5.18E+05;5.71E+05;5.28E+05;4.42E+06;4.02E+05;5.67E+05;2.18E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GP02_PE;9;3.25E+06;2.44E+06;3.02E+06;1.40E+06;1.73E+06;7.73E+05;6.05E+06;5.42E+06;2.59E+06;3.73E+06;4.24E+06;3.78E+06;0.00E+00;0.00E+00
GP02_PE;10;4.80E+06;3.27E+05;5.02E+05;8.16E+06;9.99E+06;6.57E+06;4.32E+06;4.73E+06;4.22E+06;5.35E+06;5.95E+06;5.40E+06;0.00E+00;0.00E+00
GP02_PE;12;0.00E+00;0.00E+00;0.00E+00;2.16E+06;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;1.37E+05
GP02_PE;13;0.00E+00;0.00E+00;0.00E+00;0.00E+00;2.19E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GP02_PE;SUM;3.02E+09;2.99E+09;2.83E+09;2.98E+09;3.09E+09;2.95E+09;2.93E+09;2.83E+09;4.00E+09;2.52E+09;2.87E+09;2.67E+09;4.83E+04;8.18E+07
GP03_PS;0;3.26E+05;2.83E+05;0.00E+00;2.68E+05;3.03E+05;0.00E+00;2.47E+05;2.32E+05;0.00E+00;0.00E+00;2.20E+05;0.00E+00;0.00E+00;0.00E+00
GP03_PS;1;2.07E+08;2.33E+08;2.05E+08;2.79E+08;2.87E+08;2.88E+08;2.64E+08;2.60E+08;1.88E+08;1.80E+08;2.55E+08;2.13E+08;0.00E+00;1.09E+08
GP03_PS;2;4.43E+08;4.16E+08;4.37E+08;4.26E+08;4.66E+08;4.43E+08;3.21E+08;3.44E+08;5.22E+08;2.45E+08;3.31E+08;3.10E+08;0.00E+00;0.00E+00
GP03_PS;3;1.40E+09;4.16E+08;4.42E+08;5.92E+08;6.33E+08;6.31E+08;4.07E+08;4.05E+08;6.64E+08;3.55E+08;4.83E+08;4.76E+08;0.00E+00;0.00E+00
GP03_PS;4;6.10E+08;5.39E+08;5.98E+08;8.43E+08;8.71E+08;8.76E+08;5.01E+08;5.06E+08;8.31E+08;4.76E+08;6.50E+08;6.07E+08;0.00E+00;1.42E+07
GP03_PS;5;2.94E+08;2.46E+08;2.70E+08;4.43E+08;4.18E+08;4.43E+08;2.31E+08;2.30E+08;3.91E+08;1.55E+08;2.06E+08;1.99E+08;0.00E+00;0.00E+00
GP03_PS;6;1.50E+08;9.34E+07;1.04E+08;1.58E+08;1.56E+08;1.40E+08;8.69E+07;7.02E+07;1.17E+08;5.68E+07;5.98E+07;5.62E+07;0.00E+00;0.00E+00
GP03_PS;7;1.25E+08;1.05E+08;1.16E+08;1.39E+08;1.38E+08;1.46E+08;6.72E+07;6.93E+07;1.16E+08;3.06E+07;4.02E+07;3.92E+07;0.00E+00;0.00E+00
GP03_PS;8;4.22E+07;3.45E+07;3.90E+07;5.48E+07;5.66E+07;5.94E+07;2.79E+07;2.79E+07;5.36E+07;1.72E+07;2.24E+07;2.20E+07;0.00E+00;0.00E+00
GP03_PS;9;4.78E+06;4.32E+06;4.40E+06;6.67E+06;7.60E+06;7.90E+06;2.29E+06;2.36E+06;5.02E+06;1.46E+06;2.18E+06;2.09E+06;0.00E+00;0.00E+00
GP03_PS;10;7.46E+06;6.97E+06;8.61E+06;6.54E+06;6.36E+06;6.39E+06;4.60E+06;3.80E+06;3.48E+06;3.96E+06;4.40E+06;2.74E+06;0.00E+00;9.32E+04
GP03_PS;11;1.07E+06;2.05E+06;2.86E+06;1.30E+06;1.88E+06;1.04E+06;1.07E+06;1.01E+06;5.01E+05;2.13E+06;1.66E+06;1.59E+06;0.00E+00;0.00E+00
GP03_PS;12;4.89E+05;2.74E+05;4.75E+05;3.51E+05;2.46E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;2.22E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GP03_PS;14;0.00E+00;4.80E+05;5.28E+05;0.00E+00;3.67E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
